iter	RMSE
0	1.871668586
1	1.855780822
2	1.839828366
3	1.828682828
4	1.819267474
5	1.808505452
6	1.794015224
7	1.783218551
8	1.769220082
9	1.760026758
10	1.751218878
11	1.739456304
12	1.72861756
13	1.717502761
14	1.711261416
15	1.704786871
16	1.698052898
17	1.689228503
18	1.681044723
19	1.671786406
20	1.66027042
21	1.649995401
22	1.642599727
23	1.634646735
24	1.633161036
25	1.626597232
26	1.622203019
27	1.613433977
28	1.606210667
29	1.596813239
30	1.591670418
31	1.584564167
32	1.579223253
33	1.574783061
34	1.565762524
35	1.561868965
36	1.552712158
37	1.544334203
38	1.532863985
39	1.526746118
40	1.522497091
41	1.514427882
42	1.508240439
43	1.501821972
44	1.496532671
45	1.489605637
46	1.485149709
47	1.480266572
48	1.473262009
49	1.469584717
50	1.462650063
51	1.454771997
52	1.448298681
53	1.4453787
54	1.441503275
55	1.434498586
56	1.429604476
57	1.427719799
58	1.421299474
59	1.415951553
60	1.411010338
61	1.40356818
62	1.400396325
63	1.394381879
64	1.388649078
65	1.384087697
66	1.378296964
67	1.374285602
68	1.367411378
69	1.362077136
70	1.357953
71	1.352968187
72	1.352326026
73	1.34863735
74	1.345531297
75	1.341467485
76	1.338062047
77	1.332226749
78	1.326198898
79	1.323340328
80	1.318252026
81	1.315100957
82	1.31148768
83	1.304513908
84	1.299162296
85	1.294355204
86	1.288997585
87	1.285683696
88	1.281768104
89	1.276773487
90	1.274385568
91	1.270566241
92	1.266984745
93	1.263468128
94	1.259186498
95	1.257528803
96	1.254376158
97	1.247830991
98	1.245877036
99	1.243586647
100	1.237646204
101	1.23424399
102	1.230583451
103	1.22726314
104	1.223191738
105	1.217954922
106	1.215750142
107	1.211608167
108	1.208786662
109	1.203774867
110	1.198914523
111	1.195371281
112	1.193146499
113	1.189963174
114	1.187499204
115	1.185475559
116	1.180953014
117	1.177550995
118	1.172744094
119	1.168852814
120	1.164942819
121	1.161974665
122	1.157878773
123	1.154585559
124	1.153458553
125	1.151094837
126	1.14878079
127	1.147120975
128	1.144370533
129	1.14406236
130	1.141046098
131	1.140176676
132	1.138118181
133	1.13608909
134	1.133598024
135	1.13157141
136	1.127911476
137	1.125843524
138	1.123317454
139	1.121435016
140	1.117618366
141	1.114607474
142	1.112890318
143	1.111280629
144	1.107999071
145	1.106045211
146	1.102928277
147	1.102273731
148	1.100456996
149	1.0977153
150	1.092112753
151	1.089473108
152	1.085143633
153	1.083578837
154	1.081367384
155	1.078655375
156	1.076216147
157	1.073925
158	1.070826207
159	1.068680169
160	1.065997538
161	1.064472406
162	1.061101693
163	1.057336452
164	1.054642017
165	1.05191008
166	1.050171928
167	1.049535706
168	1.049118436
169	1.046946126
170	1.044441649
171	1.043020894
172	1.041192422
173	1.038331623
174	1.036027292
175	1.032763586
176	1.030492084
177	1.028310193
178	1.025093135
179	1.024074087
180	1.021398523
181	1.019870407
182	1.017281079
183	1.015736436
184	1.013299991
185	1.011995241
186	1.010058745
187	1.009491808
188	1.006711691
189	1.004457162
190	1.003917604
191	1.002161999
192	1.000452886
193	0.9993358181
194	0.9980872657
195	0.9963381759
196	0.9946856325
197	0.9930383643
198	0.9890541927
199	0.9878923136
200	0.9854918581
201	0.9827058226
202	0.9807601881
203	0.9789208077
204	0.9784464928
205	0.9760020246
206	0.9728355284
207	0.9720043323
208	0.9689761016
209	0.9659249905
210	0.9635262869
211	0.9621237901
212	0.959919644
213	0.9574667446
214	0.954539835
215	0.9533558633
216	0.951666468
217	0.9506872144
218	0.9498340213
219	0.9475455925
220	0.9453887991
221	0.9443524423
222	0.9432890864
223	0.9424282576
224	0.9398133134
225	0.938449054
226	0.9376879092
227	0.9365596664
228	0.9363111327
229	0.9354333521
230	0.9345495375
231	0.9332903031
232	0.9324652367
233	0.9315845517
234	0.9290776564
235	0.9278288555
236	0.9269130071
237	0.9238890808
238	0.9217544376
239	0.9211363722
240	0.9204093279
241	0.9198874747
242	0.9187759644
243	0.9179886551
244	0.9169344242
245	0.9163176768
246	0.9155822626
247	0.914881019
248	0.9145175858
249	0.9138191423
250	0.913590491
251	0.9102491435
252	0.9060479601
253	0.9029299307
254	0.9022278002
255	0.9015425425
256	0.90080653
257	0.8977735856
258	0.8950731733
259	0.8930062171
260	0.8911734056
261	0.8890079183
262	0.8884053467
263	0.8871208692
264	0.886875123
265	0.8863610115
266	0.8857238482
267	0.8851681313
268	0.8826486758
269	0.8813809262
270	0.8789952289
271	0.8782233862
272	0.8761654467
273	0.8758968001
274	0.8754216967
275	0.8748413446
276	0.8742749616
277	0.8732349543
278	0.8727281884
279	0.8705251888
280	0.8691238792
281	0.8675025946
282	0.8670374728
283	0.8665836142
284	0.8660631827
285	0.8637471453
286	0.8630381917
287	0.8614771878
288	0.8597226585
289	0.858774314
290	0.8569877661
291	0.8565319017
292	0.8529762835
293	0.8525018423
294	0.8520345097
295	0.851604887
296	0.8507571303
297	0.8482530229
298	0.8460708261
299	0.8451121847
300	0.8440780684
301	0.8436206861
302	0.8428967829
303	0.8424560709
304	0.84195499
305	0.8415608415
306	0.8396079161
307	0.8391598273
308	0.8381436911
309	0.8352411555
310	0.8348534455
311	0.8339050618
312	0.83318582
313	0.832387695
314	0.8309631139
315	0.8305932026
316	0.8295161553
317	0.8291573046
318	0.8281630002
319	0.827852891
320	0.8273775782
321	0.8257479705
322	0.8240793425
323	0.8228491552
324	0.8210159731
325	0.8206298811
326	0.8202528713
327	0.81941444
328	0.8190804005
329	0.8187558334
330	0.8177224375
331	0.8153665265
332	0.8150141547
333	0.8123012739
334	0.8115319677
335	0.8107078601
336	0.8099600009
337	0.8089250584
338	0.8084000033
339	0.8075301149
340	0.806330527
341	0.80554827
342	0.8052413011
343	0.8042560063
344	0.8025437985
345	0.801830801
346	0.8005115791
347	0.8002106641
348	0.7998790043
349	0.7996063607
350	0.7989136225
351	0.7965461608
