iter	Passed	Remaining
0	1	1427
1	2	1009
2	2	952
3	3	938
4	4	887
5	5	858
6	5	780
7	6	783
8	7	774
9	7	744
10	8	741
11	8	722
12	9	712
13	9	692
14	10	685
15	11	697
16	12	712
17	12	707
18	13	718
19	14	707
20	15	720
21	16	714
22	16	706
23	17	696
24	17	681
25	18	689
26	18	682
27	19	678
28	20	678
29	20	674
30	21	680
31	22	691
32	23	696
33	24	695
34	25	698
35	25	689
36	26	683
37	26	678
38	27	676
39	28	672
40	28	670
41	29	664
42	29	663
43	30	660
44	31	660
45	31	655
46	32	653
47	32	652
48	33	650
49	34	649
50	34	646
51	35	643
52	36	651
53	37	650
54	37	644
55	38	649
56	39	645
57	40	657
58	41	655
59	41	653
60	42	647
61	42	647
62	43	642
63	43	641
64	44	640
65	45	644
66	46	644
67	46	640
68	47	638
69	47	634
70	48	630
71	48	630
72	49	623
73	49	624
74	50	623
75	51	620
76	51	620
77	53	626
78	53	622
79	54	629
80	55	628
81	56	628
82	56	627
83	57	625
84	58	624
85	58	622
86	59	621
87	59	621
88	60	619
89	61	617
90	61	614
91	62	613
92	62	612
93	63	612
94	64	611
95	64	611
96	65	610
97	66	610
98	67	611
99	68	619
100	69	617
101	70	616
102	70	616
103	71	617
104	72	616
105	72	614
106	73	612
107	74	611
108	74	610
109	75	609
110	76	609
111	76	608
112	77	609
113	78	610
114	79	608
115	79	606
116	80	606
117	81	607
118	82	608
119	82	607
120	83	607
121	84	608
122	85	608
123	85	607
124	86	606
125	87	606
126	87	603
127	88	600
128	88	598
129	89	595
130	89	594
131	89	591
132	90	589
133	91	589
134	92	589
135	92	589
136	95	598
137	96	604
138	97	606
139	98	606
140	99	605
141	100	607
142	101	606
143	101	605
144	102	603
145	103	602
146	103	601
147	104	600
148	104	599
149	105	598
150	106	597
151	106	595
152	107	594
153	107	593
154	108	590
155	109	592
156	110	591
157	110	589
158	111	587
159	111	586
160	112	584
161	112	581
162	112	579
163	113	577
164	113	576
165	114	574
166	114	572
167	115	570
168	115	567
169	115	565
170	116	563
171	116	562
172	117	560
173	117	558
174	118	557
175	118	556
176	119	554
177	119	553
178	120	551
179	120	550
180	121	549
181	122	548
182	122	547
183	123	545
184	123	544
185	124	544
186	124	543
187	125	541
188	125	540
189	126	538
190	127	538
191	127	537
192	128	536
193	128	534
194	129	532
195	129	531
196	129	528
197	130	527
198	130	525
199	131	524
200	131	522
201	131	520
202	132	519
203	132	517
204	133	516
205	133	515
206	134	514
207	134	513
208	135	512
209	135	510
210	136	510
211	137	509
212	137	508
213	138	507
214	138	506
215	139	505
216	139	505
217	140	503
218	141	503
219	141	502
220	142	500
221	142	499
222	142	498
223	143	496
224	143	495
225	144	493
226	144	492
227	145	491
228	145	490
229	146	489
230	146	487
231	146	486
232	147	485
233	147	483
234	148	481
235	148	480
236	148	478
237	148	476
238	149	474
239	149	472
240	149	471
241	150	470
242	150	468
243	150	466
244	150	465
245	151	463
246	151	461
247	152	461
248	152	460
249	153	459
250	153	458
251	154	457
252	154	457
253	155	456
254	156	455
255	156	454
256	156	453
257	157	453
258	158	452
259	158	451
260	159	450
261	159	449
262	160	448
263	160	447
264	161	446
265	161	445
266	161	444
267	162	443
268	162	442
269	162	440
270	163	439
271	164	439
272	164	438
273	165	437
274	165	436
275	166	437
276	167	436
277	167	435
278	168	434
279	168	433
280	169	432
281	169	431
282	170	431
283	170	430
284	171	429
285	171	428
286	171	427
287	172	426
288	172	424
289	173	423
290	173	422
291	174	422
292	174	421
293	175	420
294	175	419
295	175	418
296	176	417
297	176	416
298	177	415
299	177	414
300	178	413
301	178	412
302	179	412
303	179	411
304	180	410
305	180	410
306	181	409
307	181	408
308	182	407
309	182	406
310	182	405
311	183	404
312	183	403
313	184	402
314	184	401
315	184	400
316	185	398
317	185	397
318	185	396
319	186	395
320	186	394
321	186	393
322	187	392
323	187	390
324	187	389
325	187	388
326	188	387
327	188	386
328	188	385
329	189	384
330	189	383
331	189	382
332	190	381
333	190	380
334	191	379
335	191	378
336	192	378
337	192	377
338	192	376
339	193	375
340	193	374
341	194	373
342	194	372
343	194	371
344	195	371
345	195	370
346	196	369
347	196	368
348	197	368
349	197	367
350	198	366
351	198	365
352	198	364
353	199	363
354	199	362
355	200	362
356	200	361
357	201	361
358	201	360
359	202	359
360	202	358
361	203	357
362	203	357
363	204	356
364	204	355
365	205	355
366	205	354
367	205	353
368	206	352
369	206	351
370	206	350
371	207	350
372	207	349
373	208	349
374	208	348
375	209	347
376	209	346
377	210	345
378	210	345
379	211	344
380	211	343
381	211	342
382	212	342
383	212	341
384	213	340
385	213	340
386	214	339
387	214	339
388	215	338
389	216	337
390	216	337
391	217	336
392	217	336
393	218	335
394	218	335
395	219	334
396	219	333
397	220	332
398	220	332
399	220	331
400	221	330
401	221	329
402	221	328
403	222	327
404	222	326
405	222	326
406	223	325
407	223	324
408	223	323
409	224	322
410	224	321
411	224	320
412	225	320
413	225	319
414	225	318
415	226	317
416	226	316
417	226	315
418	226	314
419	227	313
420	227	313
421	228	312
422	228	311
423	229	311
424	229	310
425	230	310
426	230	309
427	230	308
428	231	307
429	231	306
430	231	305
431	231	304
432	232	304
433	232	303
434	232	302
435	233	301
436	233	300
437	233	299
438	234	299
439	234	298
440	234	297
441	234	296
442	235	295
443	235	294
444	235	294
445	236	293
446	236	292
447	236	291
448	237	291
449	237	290
450	238	289
451	238	289
452	238	288
453	239	287
454	239	286
455	239	286
456	240	285
457	240	284
458	241	284
459	241	283
460	241	282
461	242	282
462	242	281
463	242	280
464	243	279
465	243	279
466	244	278
467	244	277
468	244	277
469	245	276
470	245	275
471	245	275
472	246	274
473	246	273
474	246	272
475	247	272
476	247	271
477	248	270
478	248	270
479	248	269
480	249	268
481	249	268
482	250	267
483	250	266
484	250	266
485	251	265
486	251	264
487	251	264
488	252	263
489	252	263
490	253	262
491	253	261
492	253	261
493	254	260
494	254	259
495	255	259
496	255	258
497	255	257
498	255	257
499	256	256
500	256	255
501	257	255
502	257	254
503	257	253
504	258	253
505	258	252
506	259	251
507	259	251
508	259	250
509	260	250
510	260	249
511	261	248
512	261	248
513	261	247
514	262	246
515	262	246
516	262	245
517	262	244
518	263	243
519	263	243
520	263	242
521	264	241
522	264	241
523	264	240
524	264	239
525	265	239
526	265	238
527	265	237
528	266	236
529	266	236
530	266	235
531	266	234
532	267	234
533	267	233
534	267	232
535	268	232
536	268	231
537	268	230
538	269	230
539	269	229
540	269	228
541	270	228
542	270	227
543	270	226
544	271	226
545	271	225
546	271	225
547	272	224
548	272	223
549	272	223
550	273	222
551	273	221
552	273	221
553	274	220
554	274	220
555	274	219
556	274	218
557	275	218
558	275	217
559	275	216
560	276	216
561	276	215
562	276	214
563	276	214
564	277	213
565	277	212
566	277	212
567	278	211
568	278	210
569	278	210
570	278	209
571	279	209
572	279	208
573	279	207
574	280	207
575	280	206
576	281	206
577	281	205
578	281	204
579	281	204
580	282	203
581	282	202
582	282	202
583	283	201
584	283	201
585	283	200
586	284	199
587	284	199
588	284	198
589	285	198
590	285	197
591	285	196
592	285	196
593	286	195
594	286	195
595	286	194
596	287	193
597	287	193
598	287	192
599	287	191
600	288	191
601	288	190
602	289	190
603	289	189
604	289	189
605	290	188
606	290	188
607	291	187
608	291	187
609	291	186
610	292	186
611	292	185
612	292	184
613	293	184
614	294	184
615	294	183
616	294	182
617	294	182
618	295	181
619	295	181
620	295	180
621	296	180
622	296	179
623	297	179
624	297	178
625	298	178
626	298	177
627	298	176
628	298	176
629	299	175
630	299	175
631	300	174
632	300	174
633	300	173
634	301	173
635	301	172
636	301	172
637	302	171
638	302	171
639	302	170
640	303	169
641	303	169
642	304	168
643	304	168
644	304	167
645	305	167
646	305	166
647	306	166
648	306	165
649	306	165
650	306	164
651	307	163
652	307	163
653	307	162
654	308	162
655	308	161
656	308	161
657	309	160
658	309	160
659	309	159
660	309	158
661	310	158
662	310	157
663	310	157
664	311	156
665	311	156
666	311	155
667	312	155
668	312	154
669	312	154
670	313	153
671	313	153
672	313	152
673	314	152
674	314	151
675	315	151
676	315	150
677	316	150
678	316	149
679	316	148
680	317	148
681	317	147
682	317	147
683	317	146
684	318	146
685	318	145
686	318	145
687	319	144
688	319	144
689	319	143
690	320	143
691	320	142
692	320	142
693	321	141
694	321	141
695	321	140
696	322	139
697	322	139
698	322	139
699	323	138
700	323	137
701	323	137
702	324	136
703	324	136
704	324	135
705	324	135
706	325	134
707	325	134
708	326	133
709	326	133
710	326	132
711	327	132
712	327	131
713	327	131
714	328	130
715	328	130
716	328	129
717	329	129
718	329	128
719	329	128
720	330	127
721	330	127
722	330	126
723	331	126
724	331	125
725	331	125
726	332	124
727	332	124
728	332	123
729	333	123
730	333	122
731	333	122
732	333	121
733	334	121
734	334	120
735	334	120
736	335	119
737	335	119
738	335	118
739	335	118
740	336	117
741	336	117
742	336	116
743	337	116
744	337	115
745	337	115
746	338	114
747	338	114
748	338	113
749	338	112
750	339	112
751	339	111
752	339	111
753	340	110
754	340	110
755	340	110
756	341	109
757	341	109
758	341	108
759	342	108
760	342	107
761	342	107
762	343	106
763	343	106
764	343	105
765	343	105
766	344	104
767	344	104
768	345	103
769	345	103
770	345	102
771	345	102
772	346	101
773	346	101
774	347	100
775	347	100
776	347	99
777	348	99
778	348	98
779	349	98
780	349	97
781	349	97
782	350	97
783	350	96
784	350	96
785	350	95
786	351	95
787	351	94
788	352	94
789	352	93
790	353	93
791	353	92
792	354	92
793	354	91
794	354	91
795	355	91
796	355	90
797	356	90
798	356	89
799	357	89
800	358	88
801	358	88
802	358	88
803	359	87
804	359	87
805	360	86
806	360	86
807	361	85
808	361	85
809	362	84
810	362	84
811	363	84
812	363	83
813	364	83
814	364	82
815	364	82
816	365	81
817	365	81
818	366	80
819	367	80
820	367	80
821	368	79
822	368	79
823	369	78
824	369	78
825	370	77
826	370	77
827	370	77
828	371	76
829	372	76
830	372	75
831	372	75
832	373	74
833	373	74
834	374	73
835	374	73
836	375	73
837	375	72
838	376	72
839	376	71
840	377	71
841	377	70
842	378	70
843	378	69
844	379	69
845	379	69
846	379	68
847	380	68
848	380	67
849	381	67
850	381	66
851	382	66
852	382	65
853	383	65
854	383	65
855	383	64
856	384	64
857	384	63
858	385	63
859	385	62
860	386	62
861	387	61
862	387	61
863	387	61
864	388	60
865	389	60
866	389	59
867	390	59
868	390	58
869	391	58
870	391	57
871	392	57
872	392	57
873	392	56
874	393	56
875	393	55
876	394	55
877	395	54
878	395	54
879	396	54
880	396	53
881	397	53
882	397	52
883	398	52
884	398	51
