molecule_chembl_id,units,Ki,smiles,pKi
CHEMBL11805,nM,0.104,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,9.98296666070122
CHEMBL208599,nM,0.026,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,10.585026652029182
CHEMBL60745,nM,1.63,CC[N+](C)(C)c1cccc(O)c1.[Br-],8.787812395596042
CHEMBL95,nM,151.0,Nc1c2c(nc3ccccc13)CCCC2,6.821023052706831
CHEMBL173309,nM,12.2,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,7.913640169325252
CHEMBL1128,nM,200.0,CC[N+](C)(C)c1cccc(O)c1.[Cl-],6.698970004336019
CHEMBL102226,nM,20000.0,CCCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],4.698970004336019
CHEMBL103873,nM,2000.0,CCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],5.698970004336019
CHEMBL640,nM,1000.0,CCN(CC)CCNC(=O)c1ccc(N)cc1,6.0
CHEMBL75121,nM,21.7,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,7.66354026615147
CHEMBL502,nM,20.5,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,7.688246138944246
CHEMBL345124,nM,7140.0,CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[I-].[I-],5.146301788223825
CHEMBL179455,nM,1.49,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCNCCCNCCCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,8.826813731587727
CHEMBL361165,nM,894.0,COc1ccccc1CN(C)CCCN(C)CCCNCCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,6.048662481204082
CHEMBL359719,nM,2300.0,COc1ccc(-c2cc3c(c(=O)o2)C[C@@]2(O)[C@@]4(C)CCC(=O)OC(C)(C)[C@@]4(O)CC[C@@]2(C)O3)cc1,5.638272163982407
CHEMBL369772,nM,1500.0,CCCCNC(=O)OCCO,5.823908740944319
CHEMBL182596,nM,1400.0,CCCCNC(=O)OCCCCCO,5.853871964321762
CHEMBL181445,nM,360.0,CCCCNC(=O)OCCCCCCCCO,6.443697499232712
CHEMBL181435,nM,200.0,CCCCNC(=O)OCCCCCCCCCCO,6.698970004336019
CHEMBL182696,nM,300.0,CCCCNC(=O)OCCCCCCCCCCCCO,6.522878745280337
CHEMBL183394,nM,200.0,CCCCNC(=O)OCCCCCCCCCCCCCCO,6.698970004336019
CHEMBL184316,nM,130.0,CCCCNC(=O)OCCCCCCCCCCCCCCCCO,6.886056647693163
CHEMBL366931,nM,360.0,CCCCNC(=O)OCCOC(=O)NCCCC,6.443697499232712
CHEMBL181867,nM,250.0,CCCCNC(=O)OCCCCCOC(=O)NCCCC,6.6020599913279625
CHEMBL425165,nM,150.0,CCCCNC(=O)OCCCCCCCCOC(=O)NCCCC,6.823908740944319
CHEMBL185000,nM,160.0,CCCCNC(=O)OCCCCCCCCCCOC(=O)NCCCC,6.795880017344075
CHEMBL184946,nM,160.0,CCCCNC(=O)OCCCCCCCCCCCCOC(=O)NCCCC,6.795880017344075
CHEMBL185164,nM,160.0,CCCCNC(=O)OCCCCCCCCCCCCCCOC(=O)NCCCC,6.795880017344075
CHEMBL362685,nM,170.0,CCCCNC(=O)OCCCCCCCCCCCCCCCCOC(=O)NCCCC,6.769551078621726
CHEMBL8320,nM,955.0,O=C1C=CC(=O)C=C1,6.019996628416253
CHEMBL364729,nM,1670.0,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,5.777283528852417
CHEMBL192627,nM,163.0,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,6.787812395596042
CHEMBL208092,nM,16.5,C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2(C)C,7.782516055786093
CHEMBL1255901,nM,47.0,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,7.327902142064282
CHEMBL210453,nM,6.4,C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,8.193820026016112
CHEMBL382423,nM,15.7,C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,7.804100347590766
CHEMBL536047,nM,0.033,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl,10.481486060122112
CHEMBL375126,nM,48200.0,O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21,4.31695296176115
CHEMBL222752,nM,3280.0,O=C1C(=O)N(Cc2ccc(Cc3ccc(CN4C(=O)C(=O)c5ccccc54)cc3)cc2)c2ccccc21,5.484126156288321
CHEMBL222856,nM,104.0,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC.O=C(O)C(=O)O,6.982966660701219
CHEMBL385130,nM,12.2,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC.O=C(O)C(=O)O,7.913640169325252
CHEMBL222904,nM,5.67,CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.O=C(O)C(=O)O,8.246416941107093
CHEMBL225567,nM,0.014,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,10.853871964321762
CHEMBL225198,nM,0.009,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,11.045757490560675
CHEMBL223443,nM,0.015,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,10.823908740944319
CHEMBL225326,nM,0.02,O=C(Cc1c[nH]c2ccc(Br)cc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,10.698970004336019
CHEMBL225021,nM,0.0017,O=C(CCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,11.769551078621726
CHEMBL433282,nM,850.0,O=C1C(=O)c2cc([N+](=O)[O-])ccc2-c2ccccc21,6.070581074285707
CHEMBL235289,nM,903.0,O=C1C(=O)c2ccc([N+](=O)[O-])c3c([N+](=O)[O-])ccc1c23,6.044312249686494
CHEMBL52347,nM,320.0,O=C1C=Cc2ccccc2C1=O,6.494850021680094
CHEMBL402976,nM,313700.0,CN(C)CCOC(=O)Nc1ccncc1,3.5034854813022553
CHEMBL537454,nM,140200.0,CN(C)CCOC(=O)Nc1cc(Cl)nc(Cl)c1.Cl,3.8532519863693597
CHEMBL3216883,nM,316400.0,CN(C)CCOC(=O)Nc1ccncc1Br.Cl.Cl,3.4997635251743606
CHEMBL3216205,nM,207700.0,CN(C)CCOC(=O)Nc1ccnc(Cl)c1.Cl.Cl.Cl,3.682563503464901
CHEMBL254302,nM,64400.0,C[N+](C)(C)CCOC(=O)Nc1cc(Cl)nc(Cl)c1.[I-],4.1911141326401875
CHEMBL254300,nM,115900.0,C[N+](C)(C)CCOC(=O)Nc1ccncc1Br.[I-],3.935916564036404
CHEMBL402977,nM,150900.0,C[N+](C)(C)CCOC(=O)Nc1ccnc(Cl)c1.[I-],3.82131076022441
CHEMBL254299,nM,159000.0,C[N+](C)(C)CCOC(=O)Nc1ccncc1.[I-],3.7986028756795482
CHEMBL231160,nM,2.6,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,8.585026652029182
CHEMBL495711,nM,1908.0,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,5.719421629631924
CHEMBL522073,nM,6320.0,CN[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,5.199282921717614
CHEMBL496946,nM,11190.0,N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,4.95116991347165
CHEMBL521874,nM,4130.0,O=C(CNC(=O)[C@@H]1Cc2ccccc2CN1)Nc1c2c(nc3ccccc13)CCCC2,5.384049948343598
CHEMBL495712,nM,2214.0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,5.6548223834572955
CHEMBL496126,nM,3330.0,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,5.47755576649368
CHEMBL508778,nM,7970.0,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2,5.098541678603888
CHEMBL496127,nM,34030.0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2,4.468138050904191
CHEMBL502244,nM,130.0,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,6.886056647693163
CHEMBL525917,nM,280.0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,6.552841968657781
CHEMBL504571,nM,15.4,CC(C)(C)OC(=O)N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,7.8124792791635365
CHEMBL397271,nM,6.21,N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,8.20690839982342
CHEMBL451304,nM,6.75,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1CCCN1CCNc1c2c(nc3ccccc13)CCCC2,8.170696227168975
CHEMBL129108,nM,27.9,c1ccc2c(NCCCCCCCCSc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,7.554395796726403
CHEMBL481,nM,50.5,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,7.296708621881338
CHEMBL464538,nM,10.0,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1.[Br-].[Br-],8.0
CHEMBL1190,nM,6000000.0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.221848749616356
CHEMBL360055,nM,37000.0,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,4.431798275933005
